year,strata,age,prop_NSAS,prop_WBSS
2016,11,1,,1.00
2016,11,2,1.00,0.00
2016,11,3,0.74,0.26
2016,11,4,0.73,0.27
2016,141,1,1.00,0.00
2016,141,2,1.00,0.00
2016,141,3,0.48,0.52
2016,141,4,0.77,0.23
2017,11,1,1.00,0.00
2017,11,2,1.00,0.00
2017,11,3,0.89,0.11
2017,11,4,0.73,0.27
2017,141,1,1.00,0.00
2017,141,2,0.93,0.07
2017,141,3,0.73,0.27
2017,141,4,0.31,0.69
2018,11,1,1.00,0.00
2018,11,2,0.37,0.63
2018,11,3,0.37,0.63
2018,11,4,0.65,0.35
2018,141,1,1.00,0.00
2018,141,2,0.87,0.13
2018,141,3,0.15,0.85
2018,141,4,0.51,0.49
2019,11,1,1.00,0.00
2019,11,2,0.22,0.78
2019,11,3,0.34,0.66
2019,11,4,0.78,0.22
2019,141,1,1.00,0.00
2019,141,2,0.63,0.37
2019,141,3,0.14,0.86
2019,141,4,0.00,1.00
